player_elo,opponent_elo,win,expected_prob,elo_delta
1736.0,1310.0,1,0.993,0.11
1736.0,1346.0,1,0.989,0.166
1736.0,1327.0,1,0.991,0.134
1736.0,1417.0,1,0.975,0.372
1736.0,1368.0,1,0.986,0.214
1736.0,1384.0,1,0.983,0.256
1736.0,1107.0,1,0.999,0.011
1736.0,1508.0,1,0.932,1.013
1736.0,1309.0,1,0.993,0.109
1734.0,1243.0,1,0.997,0.052
1734.0,1542.0,1,0.901,1.482
1734.0,1061.0,1,1.0,0.006
1734.0,810.0,0,1.0,0.0
1734.0,1294.0,1,0.994,0.094
1734.0,1371.0,1,0.985,0.226
1548.0,975.0,1,0.999,0.02
1548.0,1258.0,1,0.966,0.514
1548.0,1542.0,1,0.517,7.241
1548.0,1253.0,1,0.968,0.486
1584.0,1153.0,1,0.993,0.104
1584.0,1044.0,1,0.998,0.03
1584.0,1497.0,0,0.731,-10.971
1608.0,1062.0,1,0.998,0.028
1608.0,1542.0,0,0.681,-10.22
1608.0,1347.0,0,0.953,-14.292
1608.0,1075.0,1,0.998,0.032
1608.0,1083.0,1,0.998,0.035
1608.0,1327.0,1,0.962,0.568
1612.0,1341.0,1,0.958,0.634
1612.0,1690.0,0,0.289,-4.342
1601.0,1167.0,1,0.993,0.101
1601.0,1552.0,1,0.637,5.439
1599.0,1347.0,1,0.948,0.781
1599.0,1358.0,1,0.941,0.881
1599.0,1268.0,1,0.978,0.325
1599.0,1105.0,1,0.997,0.051
1599.0,1170.0,1,0.993,0.107
1566.0,934.0,1,0.999,0.01
1566.0,1007.0,1,0.998,0.024
1566.0,909.0,1,0.999,0.008
1566.0,1012.0,1,0.998,0.025
1566.0,1031.0,1,0.998,0.032
1566.0,1142.0,1,0.992,0.113
1566.0,1118.0,1,0.994,0.086
1566.0,964.0,1,0.999,0.015
1566.0,1074.0,1,0.997,0.052
1566.0,775.0,1,1.0,0.002
1566.0,955.0,1,0.999,0.013
1566.0,1036.0,1,0.998,0.034
1566.0,1051.0,1,0.997,0.04
1566.0,994.0,1,0.999,0.021
1566.0,966.0,1,0.999,0.015
1542.0,1297.0,1,0.944,0.843
1542.0,1608.0,1,0.319,10.22
1542.0,1559.0,1,0.451,8.232
1542.0,1229.0,1,0.973,0.398
1542.0,1117.0,1,0.993,0.112
1542.0,1355.0,1,0.896,1.561
1542.0,858.0,1,1.0,0.006
1542.0,1734.0,0,0.099,-1.482
1542.0,1019.0,1,0.998,0.036
1542.0,1081.0,1,0.995,0.074
1542.0,1255.0,1,0.965,0.531
1542.0,1265.0,1,0.96,0.594
1552.0,1313.0,1,0.94,0.9
1552.0,1601.0,0,0.363,-5.439
1538.0,1044.0,1,0.997,0.051
1538.0,1153.0,1,0.988,0.176
1559.0,1062.0,1,0.997,0.049
1559.0,1347.0,1,0.92,1.202
1559.0,1542.0,0,0.549,-8.232
1559.0,1327.0,0,0.935,-14.029
1559.0,1083.0,1,0.996,0.062
1559.0,1075.0,1,0.996,0.057
1557.0,1350.0,1,0.916,1.267
1557.0,1245.0,1,0.973,0.402
1557.0,1106.0,1,0.994,0.083
1517.0,1320.0,1,0.906,1.407
1517.0,1683.0,0,0.129,-1.933
1517.0,1386.0,1,0.819,2.718
1517.0,1215.0,1,0.97,0.45
1517.0,1446.0,1,0.694,4.595
1518.0,1718.0,0,0.091,-1.364
1518.0,1160.0,1,0.984,0.239
1518.0,1201.0,1,0.975,0.38
1524.0,1405.0,1,0.797,3.039
1524.0,1395.0,0,0.815,-12.23
1524.0,986.0,1,0.998,0.031
1524.0,1026.0,1,0.997,0.048
1524.0,1095.0,1,0.993,0.107
1542.0,1268.0,1,0.959,0.614
1542.0,1315.0,1,0.932,1.024
1542.0,1548.0,0,0.483,-7.241
1542.0,1220.0,1,0.976,0.359
1542.0,1779.0,0,0.061,-0.92
1542.0,1886.0,0,0.019,-0.28
1542.0,1777.0,0,0.063,-0.94
1542.0,1621.0,0,0.287,-4.306
1542.0,1580.0,0,0.392,-5.885
1542.0,1661.0,0,0.203,-3.039
1542.0,867.0,1,1.0,0.006
1542.0,937.0,1,0.999,0.014
1542.0,908.0,1,0.999,0.01
1542.0,1077.0,1,0.995,0.071
1542.0,1096.0,1,0.994,0.088
1542.0,955.0,1,0.999,0.017
1542.0,1010.0,1,0.998,0.033
1497.0,1298.0,1,0.908,1.378
1497.0,1023.0,1,0.996,0.064
1497.0,1584.0,1,0.269,10.971
1508.0,1355.0,0,0.853,-12.801
1508.0,1204.0,1,0.971,0.44
1508.0,1229.0,1,0.961,0.581
1508.0,856.0,1,0.999,0.008
1508.0,1736.0,0,0.068,-1.013
1508.0,1338.0,1,0.876,1.857
1493.0,1387.0,1,0.772,3.418
1493.0,1655.0,0,0.134,-2.012
1493.0,1661.0,1,0.126,13.106
1493.0,983.0,1,0.997,0.042
1493.0,1087.0,1,0.991,0.139
1493.0,908.0,1,0.999,0.018
1493.0,1114.0,1,0.987,0.189
1524.0,1454.0,0,0.691,-10.369
1524.0,1501.0,0,0.566,-8.487
1524.0,1409.0,0,0.79,-11.848
1506.0,1116.0,1,0.989,0.166
1506.0,1356.0,1,0.849,2.265
1506.0,1272.0,1,0.937,0.95
1506.0,1207.0,1,0.969,0.465
1506.0,1356.0,0,0.849,-12.735
1501.0,1327.0,1,0.881,1.783
1501.0,1346.0,1,0.856,2.156
1501.0,1310.0,1,0.9,1.498
1497.0,810.0,1,1.0,0.006
1497.0,1371.0,1,0.81,2.849
1497.0,1294.0,1,0.912,1.321
1495.0,1311.0,1,0.893,1.61
1495.0,1121.0,1,0.987,0.2
1507.0,1104.0,1,0.99,0.144
1507.0,1222.0,1,0.964,0.543
1507.0,1243.0,1,0.954,0.685
1507.0,1258.0,1,0.946,0.807
1507.0,1012.0,1,0.997,0.05
1507.0,1253.0,0,0.949,-14.236
1521.0,893.0,1,0.999,0.011
1521.0,1140.0,1,0.988,0.184
1521.0,1194.0,0,0.977,-14.66
1400.0,1344.0,1,0.656,5.163
1400.0,1107.0,1,0.967,0.497
1400.0,1308.0,1,0.743,3.862
1400.0,1151.0,1,0.946,0.807
1347.0,1338.0,1,0.526,7.112
1347.0,1122.0,1,0.93,1.046
1347.0,1133.0,1,0.922,1.177
1347.0,1368.0,1,0.44,8.402
1347.0,1379.0,1,0.409,8.866
1347.0,1437.0,0,0.262,-3.928
1347.0,1608.0,1,0.047,14.292
1347.0,1297.0,1,0.64,5.399
1347.0,1559.0,0,0.08,-1.202
1347.0,1117.0,1,0.934,0.992
1347.0,1229.0,1,0.796,3.067
1347.0,1355.0,1,0.477,7.845
1333.0,1622.0,0,0.035,-0.52
1333.0,1587.0,0,0.051,-0.764
1333.0,1529.0,0,0.095,-1.422
1333.0,1517.0,0,0.107,-1.61
1333.0,1368.0,1,0.401,8.991
1333.0,1386.0,1,0.352,9.72
1357.0,1244.0,1,0.786,3.21
1357.0,1246.0,1,0.782,3.269
1357.0,1284.0,0,0.699,-10.478
1357.0,1281.0,1,0.706,4.413
1357.0,1549.0,0,0.099,-1.482
1357.0,1488.0,0,0.181,-2.718
1320.0,1438.0,1,0.204,11.933
1320.0,1403.0,1,0.278,10.834
1320.0,1352.0,0,0.409,-6.134
1320.0,1393.0,0,0.301,-4.522
1320.0,1325.0,1,0.486,7.716
1320.0,1342.0,1,0.437,8.445
1320.0,1339.0,1,0.446,8.317
1370.0,1341.0,1,0.583,6.259
1370.0,750.0,1,0.999,0.012
1370.0,1313.0,1,0.658,5.124
1356.0,1017.0,1,0.98,0.297
1356.0,1506.0,0,0.151,-2.265
1356.0,1277.0,1,0.713,4.306
1356.0,1506.0,1,0.151,12.735
1356.0,947.0,1,0.991,0.134
1356.0,923.0,1,0.993,0.102
1355.0,1508.0,1,0.147,12.801
1355.0,1309.0,0,0.629,-9.441
1355.0,1267.0,1,0.734,3.995
1355.0,1233.0,1,0.803,2.956
1355.0,1542.0,0,0.104,-1.561
1355.0,1347.0,0,0.523,-7.845
1350.0,1249.0,1,0.762,3.572
1350.0,1187.0,1,0.867,1.992
1350.0,1371.0,0,0.44,-6.598
1350.0,1040.0,1,0.973,0.411
1350.0,984.0,1,0.985,0.219
1350.0,1091.0,1,0.952,0.724
1350.0,1371.0,1,0.44,8.402
1350.0,1557.0,0,0.084,-1.267
1350.0,1036.0,1,0.974,0.393
1350.0,1333.0,0,0.549,-8.232
1350.0,1302.0,1,0.635,5.479
1329.0,1332.0,1,0.491,7.63
1329.0,1130.0,1,0.908,1.378
1329.0,1448.0,0,0.203,-3.039
1329.0,1270.0,1,0.664,5.046
1329.0,1226.0,1,0.766,3.51
1329.0,1219.0,1,0.78,3.298
1329.0,944.0,1,0.988,0.176
1329.0,1185.0,1,0.84,2.401
1329.0,905.0,1,0.992,0.113
1340.0,841.0,1,0.997,0.048
1340.0,980.0,1,0.984,0.234
1340.0,1237.0,0,0.766,-11.49
1335.0,1078.0,1,0.951,0.74
1335.0,1172.0,1,0.867,1.992
1335.0,1001.0,1,0.979,0.314
1335.0,979.0,1,0.984,0.245
1335.0,936.0,1,0.99,0.15
1335.0,809.0,1,0.998,0.035
1335.0,916.0,1,0.992,0.12
1335.0,849.0,1,0.996,0.056
